"","ID","test","order","subjective","objective","word","reading_time","accuracy"
"442","FAP","words_reading",5,"ON","OFF","pleure",570,1
"443","FAP","words_reading",5,"ON","OFF","pavage",1700,1
"444","FAP","words_reading",5,"ON","OFF","f̩vrier",490,1
"445","FAP","words_reading",5,"ON","OFF","trapue",1070,1
"446","FAP","words_reading",5,"ON","OFF","bonne",440,1
"447","FAP","words_reading",5,"ON","OFF","d̩taler",510,1
"448","FAP","words_reading",5,"ON","OFF","rendre",490,1
"449","FAP","words_reading",5,"ON","OFF","coure",800,1
"450","FAP","words_reading",5,"ON","OFF","aride",570,1
"451","FAP","words_reading",5,"ON","OFF","crasse",840,1
"452","FAP","words_reading",5,"ON","OFF","couveuse",1560,1
"453","FAP","words_reading",5,"ON","OFF","avide",670,1
"454","FAP","words_reading",5,"ON","OFF","ongle",470,1
"455","FAP","words_reading",5,"ON","OFF","visible",460,1
"456","FAP","words_reading",5,"ON","OFF","conquit",650,0
"457","FAP","words_reading",5,"ON","OFF","douche",520,1
"458","FAP","words_reading",5,"ON","OFF","̩galer",920,1
"459","FAP","words_reading",5,"ON","OFF","foutue",860,1
"460","FAP","words_reading",5,"ON","OFF","arpent",820,1
"461","FAP","words_reading",5,"ON","OFF","capot",550,1
"462","FAP","words_reading",5,"ON","OFF","grains",550,1
"463","FAP","words_reading",5,"ON","OFF","nu̩e",400,1
"464","FAP","words_reading",5,"ON","OFF","salivait",1050,1
"465","FAP","words_reading",5,"ON","OFF","couve",740,1
"466","FAP","words_reading",5,"ON","OFF","ogre",870,1
"467","FAP","words_reading",5,"ON","OFF","complais",500,1
"468","FAP","words_reading",5,"ON","OFF","truelle",730,1
"469","FAP","words_reading",6,"OFF","OFF","pure",370,1
"470","FAP","words_reading",6,"OFF","OFF","fougue",1230,1
"471","FAP","words_reading",6,"OFF","OFF","l̩vrier",720,1
"472","FAP","words_reading",6,"OFF","OFF","salirait",750,1
